fecha,GasolinaRegular
1/1/01,177776.5
2/1/01,123115.99
3/1/01,161726.42
4/1/01,127338.74
5/1/01,168730.19
6/1/01,152899.09
7/1/01,136299.13
8/1/01,139365.07
9/1/01,233643.75
10/1/01,141550.22
11/1/01,165841.46
12/1/01,149217.67
1/1/02,178585.93
2/1/02,144447.25
3/1/02,104673.64
4/1/02,190339
5/1/02,194830.1
6/1/02,137050.8
7/1/02,222408
8/1/02,143795
9/1/02,156956.9
10/1/02,195426.8
11/1/02,153185.7
12/1/02,167596.71
1/1/03,228269.5
2/1/03,214490.7
3/1/03,161257.48
4/1/03,189824.89
5/1/03,269981.86
6/1/03,182254.23
7/1/03,133668.2
8/1/03,169903.86
9/1/03,177217.53
10/1/03,181668.03
11/1/03,205624.08
12/1/03,161477.73
1/1/04,173427.23
2/1/04,147939.23
3/1/04,275539.38
4/1/04,245156.34
5/1/04,178387.8
6/1/04,133341
7/1/04,152075.75
8/1/04,208592.85
9/1/04,218499.24
10/1/04,201907.67
11/1/04,215838.32
12/1/04,227094.71
1/1/05,202374.33
2/1/05,178104.72
3/1/05,217667.69
4/1/05,234492.03
5/1/05,192734.4
6/1/05,243343.68
7/1/05,175946.3
8/1/05,173810.38
9/1/05,81015.3
10/1/05,145325.65
11/1/05,266018.37
12/1/05,107374
1/1/06,348503.85
2/1/06,145048.2
3/1/06,285783.25
4/1/06,238824.61
5/1/06,134212.3
6/1/06,211562.74
7/1/06,180942.18
8/1/06,147245.49
9/1/06,366193.77
10/1/06,153997.35
11/1/06,171327.01
12/1/06,234319.3
1/1/07,289550.59
2/1/07,299077.04
3/1/07,326317.75
4/1/07,94844.9
5/1/07,238404.83
6/1/07,170064.98
7/1/07,227660.47
8/1/07,351306.27
9/1/07,181015.83
10/1/07,312120.18
11/1/07,289282.55
12/1/07,222108.35
1/1/08,107885.65
2/1/08,234830.1
3/1/08,241800.33
4/1/08,271554.27
5/1/08,242628.16
6/1/08,177838.7
7/1/08,232129.2
8/1/08,138376.72
9/1/08,290621.26
10/1/08,358036.44
11/1/08,170365.32
12/1/08,238398.92
1/1/09,202484.53
2/1/09,588346.36
3/1/09,298459.25
4/1/09,182218.96
5/1/09,377337.48
6/1/09,363676.29
7/1/09,363911.51
8/1/09,210495.68
9/1/09,161783.68
10/1/09,375067.23
11/1/09,201213.1
12/1/09,291525.48
1/1/10,173918.35
2/1/10,336005.72
3/1/10,157798.77
4/1/10,433108.23
5/1/10,279926.95
6/1/10,281834.46
7/1/10,241994.24
8/1/10,282509.24
9/1/10,208796.02
10/1/10,392100.62
11/1/10,139547.73
12/1/10,430857.95
1/1/11,253700.82
2/1/11,343582.85
3/1/11,291087.16
4/1/11,326003.71
5/1/11,326566.61
6/1/11,230990.13
7/1/11,188581.4
8/1/11,201844.49
9/1/11,260669.22
10/1/11,239711.91
11/1/11,237803.48
12/1/11,367820.54
1/1/12,318283.44
2/1/12,253583.96
3/1/12,255492.16
4/1/12,189948.79
5/1/12,241786.29
6/1/12,320566.69
7/1/12,142232.47
8/1/12,263677.23
9/1/12,201347.56
10/1/12,374301.51
11/1/12,197398.8
12/1/12,287980.58
1/1/13,396416.84
2/1/13,235502.58
3/1/13,439386.62
4/1/13,274680.65
5/1/13,281823.2
6/1/13,293808.6
7/1/13,259025.83
8/1/13,221433.2
9/1/13,300794.99
10/1/13,281168.85
11/1/13,390941.15
12/1/13,210096.78
1/1/14,487880.79
2/1/14,312423.86
3/1/14,472437.63
4/1/14,207049
5/1/14,417767.24
6/1/14,247114.99
7/1/14,454196.13
8/1/14,305285.53
9/1/14,378741.56
10/1/14,256340.49
11/1/14,372809.93
12/1/14,491072.11
1/1/15,371420.59
2/1/15,548714.53
3/1/15,453536.19
4/1/15,537064.59
5/1/15,534049.28
6/1/15,394824.33
7/1/15,519374.15
8/1/15,328552.07
9/1/15,485906.49
10/1/15,432666.75
11/1/15,574547.76
12/1/15,319329.71
1/1/16,546876.54
2/1/16,424074.81
3/1/16,508542.18
4/1/16,527083.64
5/1/16,528347.81
6/1/16,397477.4
7/1/16,526652.73
8/1/16,512202.57
9/1/16,567786.57
10/1/16,455850.76
11/1/16,476784.16
12/1/16,473659.59
1/1/17,527564.9
2/1/17,469140.06
3/1/17,608144.98
4/1/17,681303.11
5/1/17,386088.18
6/1/17,519389.66
7/1/17,433026.08
8/1/17,592103.31
9/1/17,316435.22
10/1/17,574073.61
11/1/17,434963.36
12/1/17,679441.47
1/1/18,571858.06
2/1/18,509366.1
3/1/18,563899.06
4/1/18,510830
5/1/18,580825.11
6/1/18,463620.61
7/1/18,543333.77
8/1/18,663834.04
9/1/18,454442.87
10/1/18,726044.35
11/1/18,534084.49
12/1/18,535639.97
1/1/19,702923.37
2/1/19,469437.28
3/1/19,678145.38
4/1/19,867761.34
5/1/19,596798.22
6/1/19,712731.8
7/1/19,531577.64
8/1/19,896841.31
9/1/19,518043.68
10/1/19,712672.38
11/1/19,791039.02
12/1/19,731012.24
1/1/20,629414.9
2/1/20,741509.07
3/1/20,735491.29
4/1/20,329134.18
5/1/20,415805.82
6/1/20,683322.72
7/1/20,451717.75
8/1/20,547899.55
9/1/20,591799.83
10/1/20,861840.54
11/1/20,696600.14
12/1/20,780347.28
1/1/21,626537.48
2/1/21,715261.34
3/1/21,772750.01
4/1/21,634408.89
5/1/21,697161.3
